METRO Cash & Carry,Lübben,Wiesenweg 17  15907 Lübben Germany,+49 (3546) 22520,+49 (3546) 8078,"51,904835 13,85189"
METRO Cash & Carry,Brandenburg,Caasmannstr. 3  14770 Brandenburg Germany,+49 (3381) 33560,+49 (3381) 335619,"52,404929 12,531816"
METRO Cash & Carry,Salzwedel,Feldstraße 25a  29410 Salzwedel Germany,+49 (3901) 83960,+49 (3901) 839619,"52,8623 11,153695"
METRO Cash & Carry,Nordhausen,Str.d.Genossenschaften 119  99734 Nordhausen Germany,+49 (3631) 902209,+49 (3631) 991911,"51,507491 10,773404"
METRO Cash & Carry,Oranienburg,Sachssenhausener Str. 22  16515 Oranienburg Germany,+49 (3301) 2019610,+49 (3301) 20196119,"52,763848 13,244112"
METRO Cash & Carry,Neumünster,Leinestraße 42  24539 Neumünster Germany,+49 (4321) 851910,+49 (4321) 8519119,"54,0387 10,007348"
METRO Cash & Carry,Wächtersbach,Industriestr. 1  63607 Wächtersbach Germany,+49 (6053) 61520,+49 (6053) 615212,"50,25362 9,300205"
METRO Cash & Carry,Memmingen,Frauenhoferstraße 86  87700 Memmingen Germany,+49 (8331) 924280,+49 (8331) 9242819,"48,000586 10,157257"
METRO Cash & Carry,Heppenheim,Westerwaldstrasse 8  64646 Heppenheim Germany,+49 (6252) 670970,+49 (6252) 6709719,"49,638744 8,613531"
METRO Cash & Carry,Ensdorf,Auf Nauwies 12  66806 Ensdorf Germany,+49 (6831) 5015960,+49 (6831) 50159619,"49,300352 6,769954"
METRO Cash & Carry,Trier,Monaiser Str. 1  54294 Trier Germany,+49 (651) 82580,+49 (651) 8258219,"49,7201 6,59184"
METRO Cash & Carry,Linden,Gewerbegebiet an der B3  35440 Linden Germany,+49 (211) 17607090,+49 (1805) 780500,"50,5408 8,65309"
METRO Cash & Carry,Esslingen,Dornierstraße 9  73730 Esslingen Germany,+49 (211) 17607090,+49 (1805) 780500,"48,7187 9,34512"
Real,Magdeburg,Olvenstedter Graseweg 37  39128 Magdeburg Germany,+49 (391) 25675,+49 (391),"52,159747909691 11,606777988104"
Real,Essen,Haedenkampstraße 21  45143 Essen Germany,+49 (201) 1258680,+49 (201) 125868180,"51,458095374853 6,98345718455"
Real,Bremen,Alter Dorfweg 30-50  28259 Bremen Germany,+49 (421) 576610,+49 (421) 5766119,"53,047794463084 8,743575566795"
Real,Kaiserslautern,Mannheimer Straße 234 - 236  67657 Kaiserslautern Germany,+49 (631) 41520,+49 (631) 4152439,"49,442931414425 7,817046519981"
Real,Berlin,Müllerstr. 47  13349 Berlin Germany,+49 (30) 4579950,+49 (30) 45799518,"52,55237628378 13,350821606534"
Real,Berlin,Stendaler Straße 24  12627 Berlin Germany,+49 (30) 9928880,+49 (30) 992888293,"52,538232490269 13,605431910079"
Real,Bexbach,Poststr. 1  66450 Bexbach Germany,+49 (6826) 93560,+49 (6826) 9356800,"49,345798935067 7,251779008544"
